,Features,accuracy,error,f1 Score,red dim
0,PCA+MLP,49.629629629629626,50.370370370370374,0.5085852772389056,310
1,PCA+LR,56.2962962962963,43.7037037037037,0.5645228011894678,310
2,PCA+SVM,55.55555555555556,44.44444444444444,0.548993460707047,310
3,PCA+DT,28.888888888888886,71.11111111111111,0.28934599679785816,310
4,KPCA+MLP,58.51851851851851,41.48148148148149,0.5798900736786846,310
5,KPCA+LR,49.629629629629626,50.370370370370374,0.47631630542809195,310
6,KPCA+SVM,61.48148148148148,38.51851851851852,0.6151907551411963,310
7,KPCA+DT,34.074074074074076,65.92592592592592,0.33750646017716535,310
8,LDA+PCA+MLP,37.03703703703704,62.96296296296296,0.35978456518516677,7
9,LDA+PCA+LR,47.40740740740741,52.59259259259259,0.4598814467246918,7
10,LDA+PCA+SVM,47.40740740740741,52.59259259259259,0.4519212493125536,7
11,LDA+PCA+DT,40.0,60.0,0.39536863782312315,7
12,KLDA+MLP,37.77777777777778,62.22222222222222,0.39802168637817953,7
13,KLDA+LR,44.44444444444444,55.55555555555556,0.45332300875273057,7
14,KLDA+SVM,33.33333333333333,66.66666666666667,0.3447550204576348,7
15,KLDA+DT,35.55555555555556,64.44444444444444,0.36002004036317764,7
16,RESNET+MLP,98.51851851851852,1.4814814814814836,0.9852339823354315,2048
17,RESNET+LR,97.77777777777777,2.2222222222222254,0.9777478488589599,2048
18,RESNET+SVM,98.51851851851852,1.4814814814814836,0.9851809835927817,2048
19,RESNET+DT,95.55555555555556,4.444444444444439,0.9545044861476185,2048
20,VGG+MLP,65.92592592592592,34.074074074074076,0.6597783233328486,4096
21,VGG+LR,68.14814814814815,31.851851851851855,0.6803979848063689,4096
22,VGG+SVM,67.4074074074074,32.592592592592595,0.6631458501711557,4096
23,VGG+DT,64.44444444444444,35.55555555555555,0.6369273174887531,4096
