,Features,accuracy,error,f1 Score,red dim
0,PCA+MLP,77.5,22.499999999999996,0.7749292048054921,120
1,PCA+LR,80.0,19.999999999999996,0.8010567632850242,120
2,PCA+SVM,76.25,23.750000000000004,0.7616351460492664,120
3,PCA+DT,46.25,53.75,0.47290404040404044,120
4,KPCA+MLP,65.0,35.0,0.6504645576610091,120
5,KPCA+LR,55.00000000000001,44.99999999999999,0.49700841013961544,120
6,KPCA+SVM,75.0,25.0,0.7491291407867495,120
7,KPCA+DT,40.0,60.0,0.41486298886298884,120
8,LDA+PCA+MLP,83.75,16.249999999999996,0.8379365977160095,7
9,LDA+PCA+LR,85.0,15.000000000000002,0.8496980519480519,7
10,LDA+PCA+SVM,83.75,16.249999999999996,0.8330154105154104,7
11,LDA+PCA+DT,73.75,26.249999999999996,0.7467247340759926,7
12,KLDA+MLP,60.0,40.0,0.6072432844932845,7
13,KLDA+LR,71.25,28.749999999999996,0.706718044947009,7
14,KLDA+SVM,72.5,27.500000000000004,0.7320021645021645,7
15,KLDA+DT,55.00000000000001,44.99999999999999,0.550956014371952,7
16,RESNET+MLP,97.5,2.500000000000002,0.9748865698729583,2048
17,RESNET+LR,98.75,1.2499999999999956,0.9875,2048
18,RESNET+SVM,97.5,2.500000000000002,0.9748865698729583,2048
19,RESNET+DT,95.0,5.000000000000004,0.9504535753312681,2048
20,VGG+MLP,88.75,11.250000000000004,0.886449251143145,4096
21,VGG+LR,92.5,7.499999999999996,0.9231958112192246,4096
22,VGG+SVM,92.5,7.499999999999996,0.923476067887109,4096
23,VGG+DT,83.75,16.249999999999996,0.8383119853292488,4096
