,Features,accuracy,precision,red dim,verification error
0,PCA k=3,58.75,0.7657071181742234,120,41.25
1,PCA k=5,61.25000000000001,0.7883190247252747,120,38.74999999999999
2,PCA k=69,28.749999999999996,0.1793433179723502,120,71.25
3,PCA k=99,27.500000000000004,0.3058752737421216,120,72.5
4,KPCA k=3,63.74999999999999,0.7426456766917294,120,36.25000000000001
5,KPCA k=5,57.49999999999999,0.6933549783549784,120,42.50000000000001
6,KPCA k=69,33.75,0.6196052631578948,120,66.25
7,KPCA k=99,32.5,0.29104395604395605,120,67.5
8,LDA+PCA k=3,81.25,0.8453594842657342,7,18.75
9,LDA+PCA k=5,81.25,0.8517988782051281,7,18.75
10,LDA+PCA k=69,80.0,0.8426785714285714,7,20.0
11,LDA+PCA k=99,78.75,0.8307051282051283,7,21.25
12,KLDA k=3,72.5,0.7749025974025974,7,27.5
13,KLDA k=5,81.25,0.8488461538461538,7,18.75
14,KLDA k=69,78.75,0.8407051282051281,7,21.25
15,KLDA k=99,68.75,0.8146787587412587,7,31.25
16,RESNET k=3,97.5,0.9760416666666666,2048,2.5
17,RESNET k=5,97.5,0.9771780303030303,2048,2.5
18,RESNET k=69,97.5,0.9774305555555556,2048,2.5
19,RESNET k=99,96.25,0.9685416666666666,2048,3.75
20,VGG k=3,86.25,0.8699999999999999,4096,13.75
21,VGG k=5,86.25,0.8624107142857141,4096,13.75
22,VGG k=69,87.5,0.884672619047619,4096,12.5
23,VGG k=99,87.5,0.884672619047619,4096,12.5
