,Features,accuracy,error,f1 Score,red dim
0,PCA+MLP,84.84848484848484,15.151515151515149,0.8476190476190475,60
1,PCA+LR,93.93939393939394,6.060606060606055,0.9340067340067341,60
2,PCA+SVM,78.78787878787878,21.212121212121215,0.7706589706589706,60
3,PCA+DT,51.515151515151516,48.484848484848484,0.5262626262626263,60
4,KPCA+MLP,90.9090909090909,9.090909090909093,0.8961038961038962,60
5,KPCA+LR,48.484848484848484,51.515151515151516,0.44069264069264075,60
6,KPCA+SVM,87.87878787878788,12.121212121212121,0.890909090909091,60
7,KPCA+DT,75.75757575757575,24.242424242424242,0.7774891774891776,60
8,LDA+PCA+MLP,90.9090909090909,9.090909090909093,0.9212121212121211,14
9,LDA+PCA+LR,100.0,0.0,1.0,14
10,LDA+PCA+SVM,93.93939393939394,6.060606060606055,0.9400673400673399,14
11,LDA+PCA+DT,66.66666666666666,33.333333333333336,0.6394901394901396,14
12,KLDA+MLP,90.9090909090909,9.090909090909093,0.9124579124579124,14
13,KLDA+LR,93.93939393939394,6.060606060606055,0.9427609427609428,14
14,KLDA+SVM,93.93939393939394,6.060606060606055,0.9456469456469456,14
15,KLDA+DT,78.78787878787878,21.212121212121215,0.7824675324675324,14
16,RESNET+MLP,96.96969696969697,3.0303030303030276,0.9668109668109667,2048
17,RESNET+LR,100.0,0.0,1.0,2048
18,RESNET+SVM,100.0,0.0,1.0,2048
19,RESNET+DT,93.93939393939394,6.060606060606055,0.9532467532467533,2048
20,VGG+MLP,27.27272727272727,72.72727272727273,0.25909090909090904,4096
21,VGG+LR,63.63636363636363,36.36363636363637,0.646969696969697,4096
22,VGG+SVM,57.57575757575758,42.42424242424242,0.5741221741221741,4096
23,VGG+DT,66.66666666666666,33.333333333333336,0.6717652717652718,4096
