,Features,accuracy,precision,red dim,verification error
0,PCA k=3,84.84848484848484,0.9242424242424242,60,15.151515151515156
1,PCA k=5,81.81818181818183,0.9131313131313131,60,18.181818181818173
2,PCA k=69,9.090909090909092,0.09090909090909091,60,90.9090909090909
3,PCA k=99,6.0606060606060606,0.09090909090909091,60,93.93939393939394
4,KPCA k=3,81.81818181818183,0.86010101010101,60,18.181818181818173
5,KPCA k=5,81.81818181818183,0.8748196248196248,60,18.181818181818173
6,KPCA k=69,15.151515151515152,0.04458874458874459,60,84.84848484848484
7,KPCA k=99,3.0303030303030303,0.0013175230566534915,60,96.96969696969697
8,LDA+PCA k=3,100.0,1.0,14,0.0
9,LDA+PCA k=5,100.0,1.0,14,0.0
10,LDA+PCA k=69,12.121212121212121,0.041305916305916304,14,87.87878787878788
11,LDA+PCA k=99,6.0606060606060606,0.005785123966942149,14,93.93939393939394
12,KLDA k=3,96.96969696969697,0.9757575757575758,14,3.030303030303031
13,KLDA k=5,93.93939393939394,0.9303030303030303,14,6.060606060606062
14,KLDA k=69,12.121212121212121,0.028282828282828285,14,87.87878787878788
15,KLDA k=99,6.0606060606060606,0.06220095693779905,14,93.93939393939394
16,RESNET k=3,100.0,1.0,2048,0.0
17,RESNET k=5,100.0,1.0,2048,0.0
18,RESNET k=69,24.242424242424242,0.2159090909090909,2048,75.75757575757575
19,RESNET k=99,6.0606060606060606,0.09090909090909091,2048,93.93939393939394
20,VGG k=3,81.81818181818183,0.8666666666666667,4096,18.181818181818173
21,VGG k=5,72.72727272727273,0.7323232323232323,4096,27.272727272727266
22,VGG k=69,15.151515151515152,0.13468013468013468,4096,84.84848484848484
23,VGG k=99,9.090909090909092,0.07792207792207792,4096,90.9090909090909
